"Key","Session","Matched"
"uuid:f984ac84-71fa-402b-b2b6-085efdbdf79a","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:f86c9d33-cb92-4b40-823f-082c47a1325f","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:d2a08d47-74dc-4a9a-9c54-ab7c32225ea5","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:4424777c-5f6c-4a8a-97dd-44c3749b924f","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:45309ca4-8f00-4a1a-a136-1a51dc89cda9","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:8c8c2a5b-620e-465e-8156-87b6625b8c94","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:849ac38c-d98a-4ab4-a137-7dcf0d1bdb57","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:efaba429-174c-4c3d-b258-f148a177fd76","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:f8714795-15e2-40a0-ba5d-9f75dc8be031","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:4e234408-d658-410d-923d-86ae1acf09aa","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:3931faca-7010-4e9e-8bf9-119f62e45866","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"msg:msg_011CdwajVgK2WtQTwaJeumdz","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:5271b68c-7f3a-459f-bebd-76ce9432b1aa","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup blocked"
"uuid:dde310fd-4920-4491-a50e-7858094f1fb0","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup blocked"
"uuid:cc681a8d-53b3-4c2e-95fc-4b049cfa1ab2","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:3313f8b2-799f-4776-bf1e-771a014c99a4","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:9cb3c724-619e-4033-b7cc-531d8a252816","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:2c9e42fa-7ffb-4b90-9edf-caf9a08953a9","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:172865bd-e239-4917-9207-b2865ca0e21c","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:807049a6-5c08-4de1-b04a-8bb523c0606a","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:3586c797-c290-4bbb-8b65-a8a288bb8061","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","branch preserved"
"uuid:4f1cfdd7-4efc-4b2a-80d5-9877c608c6ce","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:8660cb1f-5afc-4a0b-93b2-92c946b3f220","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"msg:msg_011CdxomKGa1tDbYG7zL2v23","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","branch preserved"
"uuid:92b04b3e-5efa-42ca-95af-0c21c66fc6be","bf66aba0-79f3-44f6-9eb1-874aaa803175.jsonl","removing worktree"
"uuid:102021ea-ba99-47f4-95d9-bed90bc5f76a","58938ff6-4dbb-43d4-adef-020aa3d4d076.jsonl","removing worktree"
"uuid:77101758-d98a-4f9f-b486-e77a865a89cb","6aff0bf6-285a-4f4b-a264-cb4bf0186ed4.jsonl","removing worktree"
"uuid:65bc5ae1-b0de-46cd-a5b0-b56d94859f9e","ffb7beaf-f54a-40db-8a9d-5668be866de1.jsonl","removing worktree"
"uuid:a37208e8-1832-4989-8d5e-1bfd32ecab09","ffb7beaf-f54a-40db-8a9d-5668be866de1.jsonl","watcher done"
"uuid:e491b7c2-43c5-4664-8082-4ef2fb0a31c1","9d279f6d-e6e5-4f20-99e8-8dd13c434edb.jsonl","removing worktree"
"uuid:cfd22ee3-9eee-41a3-825d-d0e9c4765c11","bd5d4fcf-b9ca-40c4-a28a-75988fc53437.jsonl","removing worktree"
